Restriction list
Note: Group entries are split in different rows.
Export date: 26-Mar-2025 20:14:16
Last updated 12-Nov-2024. Database contains 74 unique substances/entries.

"Substance Identifier"	""	
"Entry no."	""	



"Substance name"	"Description"	"EC No."	"CAS No."	"Entry no."	"Conditions"	"Appendices"	"Standards"	"History"	"Q&As"	"Remarks"	"First published"	
"Benzo[a]pyrene (BaP)"	""	"-"	"50-32-8"	"50"	"https://echa.europa.eu/documents/10162/4f099937-658f-8b86-2f62-5e767fab4d6e"	""	"<a href=""https://publishing.energyinst.org/topics/fuel-quality-and-control/ip-test-methods/ip-346-determination-of-polycyclic-aromatics-in-unused-lubricating-base-oils-and-asphaltene-free-petroleum-fractions-dimethyl-sulphoxide-extraction-refractive-index-method"">IP 346</a>""<a href=""http://www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=57940"">ISO 21461:2012</a>""<a href=""https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT:71807&cs=13FB6411FF98AE4ECDA0104AF5FF55023"">prEN 16143 rev</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2005.323.01.0051.01.ENG&toc=OJ:L:2005:323:TOC"">D 2005/69/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2013.328.01.0069.01.ENG&toc=OJ:L:2013:328:TOC"">R 1272/2013</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2015.058.01.0043.01.ENG&toc=OJ:L:2015:058:TOC"">R 326/2015</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2021.259.01.0001.01.ENG&toc=OJ%3AL%3A2021%3A259%3ATOC"">R 2021/1199</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/669"">entry 669</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/670"">entry 670</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/671"">entry 671</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1476"">entry 1476</a>"	""	"13-Jan-2016"	
"Benzo[b]fluoranthene (BbFA)"	""	"-"	"205-99-2"	"50"	"https://echa.europa.eu/documents/10162/4f099937-658f-8b86-2f62-5e767fab4d6e"	""	"<a href=""https://publishing.energyinst.org/topics/fuel-quality-and-control/ip-test-methods/ip-346-determination-of-polycyclic-aromatics-in-unused-lubricating-base-oils-and-asphaltene-free-petroleum-fractions-dimethyl-sulphoxide-extraction-refractive-index-method"">IP 346</a>""<a href=""http://www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=57940"">ISO 21461:2012</a>""<a href=""https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT:71807&cs=13FB6411FF98AE4ECDA0104AF5FF55023"">prEN 16143 rev</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2005.323.01.0051.01.ENG&toc=OJ:L:2005:323:TOC"">D 2005/69/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2013.328.01.0069.01.ENG&toc=OJ:L:2013:328:TOC"">R 1272/2013</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2015.058.01.0043.01.ENG&toc=OJ:L:2015:058:TOC"">R 326/2015</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2021.259.01.0001.01.ENG&toc=OJ%3AL%3A2021%3A259%3ATOC"">R 2021/1199</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/669"">entry 669</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/670"">entry 670</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/671"">entry 671</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1476"">entry 1476</a>"	""	"13-Jan-2016"	
"Diisobutyl phthalate (DIBP); Dibutyl phthalate (DBP); Benzyl butyl phthalate (BBP); Bis(2-ethylhexyl) phthalate (DEHP)"	""	"-"	"-"	"51"	"https://echa.europa.eu/documents/10162/aaa92146-a005-1dc2-debe-93c80b57c5ee"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2005.344.01.0040.01.ENG&toc=OJ:L:2005:344:TOC"">D 2005/84/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2015.058.01.0043.01.ENG&toc=OJ:L:2015:058:TOC"">R 326/2015</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2018.322.01.0014.01.ENG&toc=OJ:L:2018:322:TOC"">R 2018/2005</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/672"">entry 672</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/673"">entry 673</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/674"">entry 674</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/675"">entry 675</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/676"">entry 676</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/984"">entry 984</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/985"">entry 985</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1185"">entry 1185</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1314"">entry 1314</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1524"">entry 1524</a>"	""	"15-Jan-2016"	
"Diisobutyl phthalate"	""	"201-553-2"	"84-69-5"	"51"	"https://echa.europa.eu/documents/10162/aaa92146-a005-1dc2-debe-93c80b57c5ee"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2005.344.01.0040.01.ENG&toc=OJ:L:2005:344:TOC"">D 2005/84/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2015.058.01.0043.01.ENG&toc=OJ:L:2015:058:TOC"">R 326/2015</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2018.322.01.0014.01.ENG&toc=OJ:L:2018:322:TOC"">R 2018/2005</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/672"">entry 672</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/673"">entry 673</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/674"">entry 674</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/675"">entry 675</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/676"">entry 676</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/984"">entry 984</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/985"">entry 985</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1185"">entry 1185</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1314"">entry 1314</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1524"">entry 1524</a>"	""	"15-Jan-2016"	
"Bis (2-ethylhexyl) phthalate (DEHP)"	""	"204-211-0"	"117-81-7"	"51"	"https://echa.europa.eu/documents/10162/aaa92146-a005-1dc2-debe-93c80b57c5ee"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2005.344.01.0040.01.ENG&toc=OJ:L:2005:344:TOC"">D 2005/84/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2015.058.01.0043.01.ENG&toc=OJ:L:2015:058:TOC"">R 326/2015</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2018.322.01.0014.01.ENG&toc=OJ:L:2018:322:TOC"">R 2018/2005</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/672"">entry 672</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/673"">entry 673</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/674"">entry 674</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/675"">entry 675</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/676"">entry 676</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/984"">entry 984</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/985"">entry 985</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1185"">entry 1185</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1314"">entry 1314</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1524"">entry 1524</a>"	""	"15-Jan-2016"	
"Benzyl butyl phthalate (BBP)"	""	"201-622-7"	"85-68-7"	"51"	"https://echa.europa.eu/documents/10162/aaa92146-a005-1dc2-debe-93c80b57c5ee"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2005.344.01.0040.01.ENG&toc=OJ:L:2005:344:TOC"">D 2005/84/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2015.058.01.0043.01.ENG&toc=OJ:L:2015:058:TOC"">R 326/2015</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2018.322.01.0014.01.ENG&toc=OJ:L:2018:322:TOC"">R 2018/2005</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/672"">entry 672</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/673"">entry 673</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/674"">entry 674</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/675"">entry 675</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/676"">entry 676</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/984"">entry 984</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/985"">entry 985</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1185"">entry 1185</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1314"">entry 1314</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1524"">entry 1524</a>"	""	"15-Jan-2016"	
"Dibutyl phthalate (DBP)"	""	"201-557-4"	"84-74-2"	"51"	"https://echa.europa.eu/documents/10162/aaa92146-a005-1dc2-debe-93c80b57c5ee"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2005.344.01.0040.01.ENG&toc=OJ:L:2005:344:TOC"">D 2005/84/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2015.058.01.0043.01.ENG&toc=OJ:L:2015:058:TOC"">R 326/2015</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2018.322.01.0014.01.ENG&toc=OJ:L:2018:322:TOC"">R 2018/2005</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/672"">entry 672</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/673"">entry 673</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/674"">entry 674</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/675"">entry 675</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/676"">entry 676</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/984"">entry 984</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/985"">entry 985</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1185"">entry 1185</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1314"">entry 1314</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1524"">entry 1524</a>"	""	"15-Jan-2016"	
"The following phthalates (or other CAS and EC numbers covering the substance) (See group members) [Entry 52]"	""	"-"	"-"	"52"	"https://echa.europa.eu/documents/10162/0923c10f-5495-16ee-5c0f-dd3613fbde6d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2005.344.01.0040.01.ENG&toc=OJ:L:2005:344:TOC"">D 2005/84/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2015.058.01.0043.01.ENG&toc=OJ:L:2015:058:TOC"">R 326/2015</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/672"">entry 672</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/673"">entry 673</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/674"">entry 674</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/675"">entry 675</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/676"">entry 676</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/748"">entry 748</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/984"">entry 984</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1185"">entry 1185</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1314"">entry 1314</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1524"">entry 1524</a>"	"Guideline available, see Q&amp;A entry 748"	"15-Jan-2016"	
"Di-“isodecyl” phthalate (DIDP)"	""	"247-977-1"	"26761-40-0"	"52"	"https://echa.europa.eu/documents/10162/0923c10f-5495-16ee-5c0f-dd3613fbde6d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2005.344.01.0040.01.ENG&toc=OJ:L:2005:344:TOC"">D 2005/84/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2015.058.01.0043.01.ENG&toc=OJ:L:2015:058:TOC"">R 326/2015</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/672"">entry 672</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/673"">entry 673</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/674"">entry 674</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/675"">entry 675</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/676"">entry 676</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/748"">entry 748</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/984"">entry 984</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1185"">entry 1185</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1314"">entry 1314</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1524"">entry 1524</a>"	"Guideline available, see Q&amp;A entry 748"	"15-Jan-2016"	
"Di-“isononyl” phthalate (DINP)"	""	"249-079-5"	"28553-12-0"	"52"	"https://echa.europa.eu/documents/10162/0923c10f-5495-16ee-5c0f-dd3613fbde6d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2005.344.01.0040.01.ENG&toc=OJ:L:2005:344:TOC"">D 2005/84/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2015.058.01.0043.01.ENG&toc=OJ:L:2015:058:TOC"">R 326/2015</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/672"">entry 672</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/673"">entry 673</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/674"">entry 674</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/675"">entry 675</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/676"">entry 676</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/748"">entry 748</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/984"">entry 984</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1185"">entry 1185</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1314"">entry 1314</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1524"">entry 1524</a>"	"Guideline available, see Q&amp;A entry 748"	"15-Jan-2016"	
"Di-n-octyl phthalate (DNOP)"	""	"204-214-7"	"117-84-0"	"52"	"https://echa.europa.eu/documents/10162/0923c10f-5495-16ee-5c0f-dd3613fbde6d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2005.344.01.0040.01.ENG&toc=OJ:L:2005:344:TOC"">D 2005/84/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2015.058.01.0043.01.ENG&toc=OJ:L:2015:058:TOC"">R 326/2015</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/672"">entry 672</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/673"">entry 673</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/674"">entry 674</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/675"">entry 675</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/676"">entry 676</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/748"">entry 748</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/984"">entry 984</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1185"">entry 1185</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1314"">entry 1314</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1524"">entry 1524</a>"	"Guideline available, see Q&amp;A entry 748"	"15-Jan-2016"	
"1,2-Benzenedicarboxylic acid, di-C9-11-branched alkyl esters, C10-rich"	""	"271-091-4"	"68515-49-1"	"52"	"https://echa.europa.eu/documents/10162/0923c10f-5495-16ee-5c0f-dd3613fbde6d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2005.344.01.0040.01.ENG&toc=OJ:L:2005:344:TOC"">D 2005/84/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2015.058.01.0043.01.ENG&toc=OJ:L:2015:058:TOC"">R 326/2015</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/672"">entry 672</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/673"">entry 673</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/674"">entry 674</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/675"">entry 675</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/676"">entry 676</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/748"">entry 748</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/984"">entry 984</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1185"">entry 1185</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1314"">entry 1314</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1524"">entry 1524</a>"	"Guideline available, see Q&amp;A entry 748"	"15-Jan-2016"	
"1,2-Benzenedicarboxylic acid, di-C8-10-branched alkyl esters, C9-rich"	""	"271-090-9"	"68515-48-0"	"52"	"https://echa.europa.eu/documents/10162/0923c10f-5495-16ee-5c0f-dd3613fbde6d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2005.344.01.0040.01.ENG&toc=OJ:L:2005:344:TOC"">D 2005/84/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2015.058.01.0043.01.ENG&toc=OJ:L:2015:058:TOC"">R 326/2015</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/672"">entry 672</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/673"">entry 673</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/674"">entry 674</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/675"">entry 675</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/676"">entry 676</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/748"">entry 748</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/984"">entry 984</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1185"">entry 1185</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1314"">entry 1314</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1524"">entry 1524</a>"	"Guideline available, see Q&amp;A entry 748"	"15-Jan-2016"	
"2-(2-methoxyethoxy)ethanol (DEGME)"	""	"203-906-6"	"111-77-3"	"54"	"https://echa.europa.eu/documents/10162/c0b7baea-d2d6-4fa5-86b8-c322ab573d8f"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2008.348.01.0108.01.ENG&toc=OJ:L:2008:348:TOC"">D 1348/2008/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	""	""	"13-Jan-2016"	
"2-(2-butoxyethoxy)ethanol (DEGBE)"	""	"203-961-6"	"112-34-5"	"55"	"https://echa.europa.eu/documents/10162/9e666f9e-efe4-4fc5-ac35-66c557bcc0dc"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2008.348.01.0108.01.ENG&toc=OJ:L:2008:348:TOC"">D 1348/2008/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	""	""	"13-Jan-2016"	
