Annex of co-formulants not accepted for inclusion in PPPs
Note: Group entries are split in different rows.
Export date: 26/03/2025 20:20:26
Header

"Substance Identifier"	""	



""	""	""	""	""	
"Isononylphenol"	"234-284-4"	"11066-49-2"	"61"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Isooctylphenol"	"234-304-1"	"11081-15-5"	"86"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based"	"276-737-9"	"72623-86-0"	"46"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Lubricating oils (petroleum), C17-32, solvent-extd., dewaxed, hydrogenated"	"309-875-6"	"101316-70-5"	"48"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based"	"276-738-4"	"72623-87-1"	"47"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based, high-viscosity"	"276-736-3"	"72623-85-9"	"45"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"N,N-Dimethylformamide"	"200-679-5"	"68-12-2"	"140"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"N-Methylformamide"	"204-624-6"	"123-39-7"	"55"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Naphtha (petroleum), heavy alkylate predominantly branched chain C9-C12"	"265-067-2"	"64741-65-7"	"49"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Naphtha (petroleum), hydrodesulfurized heavy predominantly C7-C12"	"265-185-4"	"64742-82-1"	"50"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Naphtha (petroleum), hydrodesulfurized light, dearomatized predominantly C7 paraffins and cycloparaffins"	"295-434-2"	"92045-53-9"	"51"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Naphtha (petroleum), hydrotreated heavy predominantly C6-C13"	"265-150-3"	"64742-48-9"	"52"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Naphtha (petroleum), light aromatic predominantly C8-C10"	"265-199-0"	"64742-95-6"	"53"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Nitrobenzene"	"202-716-0"	"98-95-3"	"54"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Nonylphenol"	"246-672-0"	"25154-52-3"	"63"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Nonylphenol, ethoxylated"	"500-024-6"	"9016-45-9"	"8167"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"o-(1,1,3,3-Tetramethylbutyl)phenol"	"223-420-8"	"3884-95-5"	"97"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Octylphenol"	"266-717-8"	"67554-50-1"	"84"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Orthoboric acid, sodium salt"	"237-560-2"	"13840-56-7"	"28"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"p-(1-Methyloctyl)phenol"	"241-427-4"	"17404-66-9"	"64"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"p-Isononylphenol"	"247-770-6"	"26543-97-5"	"62"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, (1,1,3,3-tetramethylbutyl)-"	"248-310-7"	"27193-28-8"	"98"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, (1-methylheptyl)-"	"248-759-9"	"27985-70-2"	"99"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 2-(1,1-dimethylhexyl)-"	"-"	"1824575-79-2"	"108"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 2-(1-ethylhexyl)-"	"241-426-9"	"17404-44-3"	"94"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 2-(1-methylheptyl)-"	"242-459-1"	"18626-98-7"	"93"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 2-(1-propylpentyl)-"	"253-574-1"	"37631-10-0"	"95"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 2-(2-ethylhexyl)-"	"-"	"28752-62-7"	"101"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 2-(2-methylheptyl)-"	"-"	"898546-20-8"	"105"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 2-(5,5-dimethylhexyl)-"	"-"	"1822989-97-8"	"111"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 2-isooctyl-"	"-"	"86378-08-7"	"85"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 2-octyl-"	"213-437-9"	"949-13-3"	"87"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 2-sec-octyl-"	"247-663-4"	"26401-75-2"	"88"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 3-(1,1-dimethylhexyl)-"	"-"	"70435-92-6"	"112"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 3-octyl-"	"-"	"20056-69-3"	"107"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 4-(1,1-dimethylhexyl)-"	"-"	"30784-29-3"	"109"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 4-(1,4-dimethylhexyl)-"	"-"	"164219-26-5"	"113"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 4-(1-ethylhexyl)-"	"221-989-7"	"3307-00-4"	"92"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 4-(1-methylheptyl)-"	"217-332-9"	"1818-08-2"	"102"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 4-(1-propylpentyl)-"	"221-990-2"	"3307-01-5"	"96"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 4-(2-ethylhexyl)-"	"-"	"69468-20-8"	"103"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 4-(2-methylheptyl)-"	"-"	"898546-19-5"	"100"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
